danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.56,0.833,9,-6.338,0,0.047,0.0041,0.0778,0.68,0.217,128.0,audio_features,1g2vLDVh6sP2cLyTOYw07o,spotify:track:1g2vLDVh6sP2cLyTOYw07o,https://api.spotify.com/v1/tracks/1g2vLDVh6sP2cLyTOYw07o,https://api.spotify.com/v1/audio-analysis/1g2vLDVh6sP2cLyTOYw07o,328200,4,electro
0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,audio_features,1gihuPhrLraKYrJMAEONyc,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc,206413,4,electro
0.798,0.925,7,-5.965,0,0.139,0.0115,0.0757,0.0607,0.451,137.997,audio_features,1hJka1KWIwswy3lZR3N5Zd,spotify:track:1hJka1KWIwswy3lZR3N5Zd,https://api.spotify.com/v1/tracks/1hJka1KWIwswy3lZR3N5Zd,https://api.spotify.com/v1/audio-analysis/1hJka1KWIwswy3lZR3N5Zd,255587,4,electro
0.674,0.862,11,-4.614,1,0.0253,0.0157,0.000427,0.169,0.5,129.965,audio_features,1hRFVIy9As8OVRk8B7CrD5,spotify:track:1hRFVIy9As8OVRk8B7CrD5,https://api.spotify.com/v1/tracks/1hRFVIy9As8OVRk8B7CrD5,https://api.spotify.com/v1/audio-analysis/1hRFVIy9As8OVRk8B7CrD5,191000,4,electro
0.523,0.782,2,-4.846,1,0.041,0.219,1.03e-05,0.133,0.164,125.998,audio_features,1hZk9dktp4yRFTm0TrycuH,spotify:track:1hZk9dktp4yRFTm0TrycuH,https://api.spotify.com/v1/tracks/1hZk9dktp4yRFTm0TrycuH,https://api.spotify.com/v1/audio-analysis/1hZk9dktp4yRFTm0TrycuH,214813,4,electro
0.63,0.757,0,-4.423,1,0.0419,0.0287,0.0,0.522,0.441,128.057,audio_features,1iNPlFDLDGjnJZbt11SU1e,spotify:track:1iNPlFDLDGjnJZbt11SU1e,https://api.spotify.com/v1/tracks/1iNPlFDLDGjnJZbt11SU1e,https://api.spotify.com/v1/audio-analysis/1iNPlFDLDGjnJZbt11SU1e,170000,4,electro
0.503,0.704,9,-3.218,1,0.0339,0.25,0.0,0.0771,0.114,127.945,audio_features,1kVh5zMwaDnuyTedpaQbW7,spotify:track:1kVh5zMwaDnuyTedpaQbW7,https://api.spotify.com/v1/tracks/1kVh5zMwaDnuyTedpaQbW7,https://api.spotify.com/v1/audio-analysis/1kVh5zMwaDnuyTedpaQbW7,202542,4,electro
0.555,0.746,6,-6.128,0,0.072,0.0184,0.0142,0.727,0.235,128.076,audio_features,1lMsyIASX7Dz55BaD5WfI9,spotify:track:1lMsyIASX7Dz55BaD5WfI9,https://api.spotify.com/v1/tracks/1lMsyIASX7Dz55BaD5WfI9,https://api.spotify.com/v1/audio-analysis/1lMsyIASX7Dz55BaD5WfI9,209760,4,electro
0.577,0.88,6,-2.916,1,0.0357,0.335,0.896,0.143,0.259,127.951,audio_features,1la2o7WHv6erRe18gs5sMN,spotify:track:1la2o7WHv6erRe18gs5sMN,https://api.spotify.com/v1/tracks/1la2o7WHv6erRe18gs5sMN,https://api.spotify.com/v1/audio-analysis/1la2o7WHv6erRe18gs5sMN,204375,4,electro
0.648,0.812,11,-7.585,0,0.0414,0.000329,0.0369,0.0857,0.122,128.178,audio_features,1ntBQ9n05QHSfCKA8rCFFA,spotify:track:1ntBQ9n05QHSfCKA8rCFFA,https://api.spotify.com/v1/tracks/1ntBQ9n05QHSfCKA8rCFFA,https://api.spotify.com/v1/audio-analysis/1ntBQ9n05QHSfCKA8rCFFA,250947,4,electro
0.733,0.673,9,-6.572,0,0.0333,0.0132,0.0049,0.16,0.636,125.064,audio_features,1qZMPmpD1jDcOA7gZ6TCde,spotify:track:1qZMPmpD1jDcOA7gZ6TCde,https://api.spotify.com/v1/tracks/1qZMPmpD1jDcOA7gZ6TCde,https://api.spotify.com/v1/audio-analysis/1qZMPmpD1jDcOA7gZ6TCde,163247,4,electro
0.526,0.962,10,-4.005,0,0.0463,0.000796,0.92,0.797,0.305,126.015,audio_features,1qqisKR1XGclKYRUsoaIfS,spotify:track:1qqisKR1XGclKYRUsoaIfS,https://api.spotify.com/v1/tracks/1qqisKR1XGclKYRUsoaIfS,https://api.spotify.com/v1/audio-analysis/1qqisKR1XGclKYRUsoaIfS,290023,4,electro
0.862,0.735,4,-4.71,0,0.0439,0.00301,0.538,0.235,0.101,128.009,audio_features,1wKHL8zE38nP0ERYVqjMnf,spotify:track:1wKHL8zE38nP0ERYVqjMnf,https://api.spotify.com/v1/tracks/1wKHL8zE38nP0ERYVqjMnf,https://api.spotify.com/v1/audio-analysis/1wKHL8zE38nP0ERYVqjMnf,272306,4,electro
0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,audio_features,22mek4IiqubGD9ctzxc69s,spotify:track:22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s,212640,4,electro
