,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
58,0.456,0.79,1,-5.598,0,0.0292,0.000419,0.000135,0.105,0.355,90.4,audio_features,13aKGvTil3UUw1yk0pA9fG,spotify:track:13aKGvTil3UUw1yk0pA9fG,https://api.spotify.com/v1/tracks/13aKGvTil3UUw1yk0pA9fG,https://api.spotify.com/v1/audio-analysis/13aKGvTil3UUw1yk0pA9fG,229467,4,rock
59,0.542,0.877,8,-8.201,1,0.138,0.666,5.32e-06,0.323,0.523,127.183,audio_features,13v3cG4u6dgiXfgihQh53D,spotify:track:13v3cG4u6dgiXfgihQh53D,https://api.spotify.com/v1/tracks/13v3cG4u6dgiXfgihQh53D,https://api.spotify.com/v1/audio-analysis/13v3cG4u6dgiXfgihQh53D,227467,4,rock
60,0.659,0.626,9,-9.189,0,0.0272,0.288,6.26e-06,0.0968,0.66,97.996,audio_features,14GRd9N57h1rTou0rPts0i,spotify:track:14GRd9N57h1rTou0rPts0i,https://api.spotify.com/v1/tracks/14GRd9N57h1rTou0rPts0i,https://api.spotify.com/v1/audio-analysis/14GRd9N57h1rTou0rPts0i,232173,4,rock
61,0.66,0.567,4,-6.318,0,0.0289,0.00428,0.0137,0.11,0.182,107.754,audio_features,16x4zrgor3ewwEbPgSrTAB,spotify:track:16x4zrgor3ewwEbPgSrTAB,https://api.spotify.com/v1/tracks/16x4zrgor3ewwEbPgSrTAB,https://api.spotify.com/v1/audio-analysis/16x4zrgor3ewwEbPgSrTAB,332627,4,rock
62,0.822,0.496,7,-9.091,1,0.0451,0.796,0.0,0.115,0.668,113.007,audio_features,18HhrvAM4eA5iD5wH0AUu4,spotify:track:18HhrvAM4eA5iD5wH0AUu4,https://api.spotify.com/v1/tracks/18HhrvAM4eA5iD5wH0AUu4,https://api.spotify.com/v1/audio-analysis/18HhrvAM4eA5iD5wH0AUu4,234236,4,rock
63,0.724,0.774,6,-7.127,0,0.135,0.31,7.04e-05,0.219,0.817,85.018,audio_features,18Va6aOGfN2JHGDblDuOLB,spotify:track:18Va6aOGfN2JHGDblDuOLB,https://api.spotify.com/v1/tracks/18Va6aOGfN2JHGDblDuOLB,https://api.spotify.com/v1/audio-analysis/18Va6aOGfN2JHGDblDuOLB,193351,4,rock
64,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,audio_features,1Dr1fXbc2IxaK1Mu8P8Khz,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/tracks/1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/audio-analysis/1Dr1fXbc2IxaK1Mu8P8Khz,178000,4,rock
65,0.592,0.804,0,-6.295,0,0.0269,0.144,0.0,0.442,0.61,107.969,audio_features,1ICvGsUKmoCTgerSITAqFq,spotify:track:1ICvGsUKmoCTgerSITAqFq,https://api.spotify.com/v1/tracks/1ICvGsUKmoCTgerSITAqFq,https://api.spotify.com/v1/audio-analysis/1ICvGsUKmoCTgerSITAqFq,172774,4,rock
66,0.549,0.865,1,-3.486,0,0.0625,0.000482,0.0,0.0512,0.434,140.017,audio_features,1KdGSnUj7Zr1XdTbyuSr7T,spotify:track:1KdGSnUj7Zr1XdTbyuSr7T,https://api.spotify.com/v1/tracks/1KdGSnUj7Zr1XdTbyuSr7T,https://api.spotify.com/v1/audio-analysis/1KdGSnUj7Zr1XdTbyuSr7T,199840,4,rock
67,0.546,0.864,7,-7.632,1,0.0393,0.0908,0.00814,0.277,0.863,145.652,audio_features,1L8kJLp3ExF5ZGHwEZEqHe,spotify:track:1L8kJLp3ExF5ZGHwEZEqHe,https://api.spotify.com/v1/tracks/1L8kJLp3ExF5ZGHwEZEqHe,https://api.spotify.com/v1/audio-analysis/1L8kJLp3ExF5ZGHwEZEqHe,137240,4,rock
68,0.473,0.883,2,-6.27,1,0.0623,0.000191,0.0331,0.109,0.343,148.968,audio_features,1N0fEK1Vu5EM4pjuFGUkJi,spotify:track:1N0fEK1Vu5EM4pjuFGUkJi,https://api.spotify.com/v1/tracks/1N0fEK1Vu5EM4pjuFGUkJi,https://api.spotify.com/v1/audio-analysis/1N0fEK1Vu5EM4pjuFGUkJi,274128,4,rock
69,0.578,0.482,9,-7.621,0,0.0249,0.034,3.23e-05,0.201,0.424,75.503,audio_features,1Ot0nJcwTYaZRUEbMLQmJN,spotify:track:1Ot0nJcwTYaZRUEbMLQmJN,https://api.spotify.com/v1/tracks/1Ot0nJcwTYaZRUEbMLQmJN,https://api.spotify.com/v1/audio-analysis/1Ot0nJcwTYaZRUEbMLQmJN,197120,4,rock
70,0.447,0.7,2,-5.739,1,0.137,0.271,0.0,0.0521,0.476,149.69,audio_features,1Pf45EbaIsoGsXixOSYx88,spotify:track:1Pf45EbaIsoGsXixOSYx88,https://api.spotify.com/v1/tracks/1Pf45EbaIsoGsXixOSYx88,https://api.spotify.com/v1/audio-analysis/1Pf45EbaIsoGsXixOSYx88,235099,3,rock
71,0.526,0.877,0,-4.661,1,0.0356,0.000319,9.06e-06,0.301,0.656,130.999,audio_features,1RYIYIffDg2P1wRU36HOk5,spotify:track:1RYIYIffDg2P1wRU36HOk5,https://api.spotify.com/v1/tracks/1RYIYIffDg2P1wRU36HOk5,https://api.spotify.com/v1/audio-analysis/1RYIYIffDg2P1wRU36HOk5,240268,4,rock
72,0.244,0.645,5,-5.863,1,0.0456,0.00178,0.00574,0.301,0.529,183.577,audio_features,1SDLrgSkAw2LcdXfWArPgs,spotify:track:1SDLrgSkAw2LcdXfWArPgs,https://api.spotify.com/v1/tracks/1SDLrgSkAw2LcdXfWArPgs,https://api.spotify.com/v1/audio-analysis/1SDLrgSkAw2LcdXfWArPgs,188307,5,rock
73,0.431,0.666,7,-11.141,1,0.0337,0.00151,0.00213,0.0527,0.619,134.777,audio_features,1T94tcUfe2X74nriMCAWQa,spotify:track:1T94tcUfe2X74nriMCAWQa,https://api.spotify.com/v1/tracks/1T94tcUfe2X74nriMCAWQa,https://api.spotify.com/v1/audio-analysis/1T94tcUfe2X74nriMCAWQa,315667,4,rock
